clip,gap_length,condition,dyad,turn_num,turn_start_msec,video_num,laughter,,
232_2386_69_62.mov,2386,strangers,69_62,91,328087,232,yes,,
233_2706_69_62.mov,2706,strangers,69_62,92,330950,233,no,,
234_3882_69_62.mov,3882,strangers,69_62,102,362620,234,no,,
235_2289_69_62.mov,2289,strangers,69_62,106,383832,235,no,,
236_3132_69_62.mov,3132,strangers,69_62,123,551080,236,yes,,
237_3170_46_42.mov,3170,strangers,46_42,8,12488,237,yes,,
238_2863_46_42.mov,2863,strangers,46_42,9,25462,238,yes,,
239_9167_46_42.mov,9167,strangers,46_42,31,210553,239,no,,
240_2542_46_42.mov,2542,strangers,46_42,32,230559,240,yes,,
241_6628_46_42.mov,6628,strangers,46_42,34,244305,241,no,,
242_3988_46_42.mov,3988,strangers,46_42,52,415949,242,no,,
243_2816_81_86.mov,2816,strangers,81_86,67,288222,243,no,,
244_2372_106_103.mov,2372,strangers,106_103,40,118547,244,no,,
245_2726_106_103.mov,2726,strangers,106_103,47,142059,245,yes,,
246_3078_106_103.mov,3078,strangers,106_103,114,468819,246,yes,,
247_2068_106_103.mov,2068,strangers,106_103,117,474397,247,no,,
248_2030_106_103.mov,2030,strangers,106_103,119,487477,248,no,,
249_2452_48_46.mov,2452,strangers,48_46,104,559477,249,no,,
250_2393_9_11.mov,2393,strangers,9_11,18,65080,250,no,,
251_3165_44_46.mov,3165,strangers,44_46,35,125055,251,no,,
252_3055_44_46.mov,3055,strangers,44_46,37,186873,252,no,,
253_2825_44_46.mov,2825,strangers,44_46,56,389839,253,no,,
254_5647_44_46.mov,5647,strangers,44_46,59,401946,254,no,,
255_2279_44_46.mov,2279,strangers,44_46,66,480011,255,no,,
256_2064_44_46.mov,2064,strangers,44_46,77,540411,256,yes,,
257_4668_106_101.mov,4668,strangers,106_101,34,144444,257,no,,
258_2422_106_101.mov,2422,strangers,106_101,47,198529,258,no,,
259_2529_106_101.mov,2529,strangers,106_101,50,218951,259,no,,
260_2337_106_101.mov,2337,strangers,106_101,80,343148,260,no,,
261_2653_106_101.mov,2653,strangers,106_101,118,534860,261,no,,
262_2516_107_104.mov,2516,strangers,107_104,139,541450,262,yes,,
263_2169_8_235.mov,2169,friends,8_235,13,42532,263,yes,,
264_2009_8_235.mov,2009,friends,8_235,45,186657,264,no,,
265_2026_8_235.mov,2026,friends,8_235,53,207064,265,no,,
266_3072_30_215.mov,3072,friends,30_215,7,21246,266,no,,
267_3485_30_215.mov,3485,friends,30_215,15,37992,267,no,,
268_2321_30_215.mov,2321,friends,30_215,35,195420,268,no,,
269_2128_21_212.mov,2128,friends,21_212,128,465918,269,no,,
270_2053_11_241.mov,2053,friends,11_241,5,14898,270,no,,
271_2420_11_241.mov,2420,friends,11_241,27,90297,271,no,,
272_2229_11_241.mov,2229,friends,11_241,57,212272,272,no,,
273_2408_11_241.mov,2408,friends,11_241,73,277894,273,no,,
274_2370_11_241.mov,2370,friends,11_241,96,336007,274,no,,
275_2124_11_241.mov,2124,friends,11_241,107,375814,275,yes,,
276_2067_11_241.mov,2067,friends,11_241,134,491769,276,yes,,
277_2286_11_241.mov,2286,friends,11_241,137,503119,277,no,,
278_3372_86_251.mov,3372,friends,86_251,110,420226,278,no,,
279_2014_86_251.mov,2014,friends,86_251,162,593201,279,no,,
280_2538_44_252.mov,2538,friends,44_252,35,110329,280,no,,
281_2449_44_252.mov,2449,friends,44_252,43,145894,281,no,,
282_2548_44_252.mov,2548,friends,44_252,75,271810,282,no,,
283_2747_44_252.mov,2747,friends,44_252,77,293418,283,no,,
284_4528_44_252.mov,4528,friends,44_252,101,388049,284,no,,
285_3202_44_252.mov,3202,friends,44_252,127,506902,285,no,,
286_2063_44_252.mov,2063,friends,44_252,128,509213,286,no,,
287_2965_44_252.mov,2965,friends,44_252,129,532862,287,no,,
288_2165_44_246.mov,2165,friends,44_246,75,266970,288,no,,
